timestamp,engine_rpm,coolant_temp_c,oil_pressure_kpa,battery_voltage_v,exhaust_gas_temp_c,oil_particulate_ppm,exhaust_nox_ppm,vibration_rms_g,wave_height_m,heading_deg,wind_direction_deg,wind_speed_kn
2025-05-01T06:00:00+00:00,1073.3,78.78,355.1,13.87,343.1,15.2,536.3,0.0541,0.87,180.9,90.9,10.6
2025-05-01T06:01:00+00:00,896.4,77.65,361.3,14.00,335.2,15.4,517.4,0.0667,1.06,180.9,90.9,10.9
2025-05-01T06:02:00+00:00,1150.2,78.73,355.4,13.65,369.9,16.3,566.3,0.0554,0.97,180.9,90.9,10.5
2025-05-01T06:03:00+00:00,1093.5,78.41,354.6,13.73,360.3,14.1,589.7,0.0542,0.89,180.9,90.9,10.3
2025-05-01T06:04:00+00:00,1025.2,79.08,362.9,13.73,366.3,11.6,534.9,0.0591,0.98,180.9,90.9,9.3
2025-05-01T06:05:00+00:00,1080.6,78.61,366.7,13.89,329.9,15.8,603.8,0.0569,0.97,180.9,90.9,11.1
2025-05-01T06:06:00+00:00,773.0,78.35,369.2,13.79,344.5,14.9,618.3,0.0531,0.94,180.9,90.9,10.9
2025-05-01T06:07:00+00:00,955.4,80.01,353.2,13.98,344.2,17.3,564.1,0.0546,0.91,180.9,90.9,11.1
2025-05-01T06:08:00+00:00,976.0,78.38,355.4,13.83,357.1,15.6,557.9,0.0540,0.92,180.9,90.9,11.6
2025-05-01T06:09:00+00:00,1032.0,77.59,356.6,13.56,361.6,15.1,593.1,0.0549,0.98,180.9,90.9,10.8
2025-05-01T06:10:00+00:00,873.4,79.18,339.1,13.99,334.0,18.3,538.6,0.0542,1.00,180.9,90.9,12.0
2025-05-01T06:11:00+00:00,977.9,80.20,364.6,14.01,345.9,15.2,543.7,0.0546,0.98,180.9,90.9,10.4
2025-05-01T06:12:00+00:00,1029.2,75.98,362.2,13.65,360.2,13.0,549.0,0.0632,0.97,180.9,90.9,11.2
2025-05-01T06:13:00+00:00,1045.5,76.32,355.6,13.82,330.5,14.9,567.9,0.0552,1.01,180.9,90.9,12.9
2025-05-01T06:14:00+00:00,2210.3,83.26,352.9,13.77,354.0,15.9,641.0,0.0611,0.94,180.9,90.9,11.4
2025-05-01T06:15:00+00:00,2029.1,83.02,351.3,13.56,377.6,9.7,631.3,0.0596,0.93,180.9,90.9,9.7
2025-05-01T06:16:00+00:00,2090.6,85.83,366.3,14.08,387.7,14.7,662.4,0.0593,0.86,180.9,90.9,11.8
2025-05-01T06:17:00+00:00,2143.0,82.49,345.4,13.84,371.8,16.8,604.1,0.0642,0.91,180.9,90.9,9.7
2025-05-01T06:18:00+00:00,1846.3,82.47,342.1,13.80,382.5,15.6,606.8,0.0667,0.96,180.9,90.9,11.1
2025-05-01T06:19:00+00:00,1941.1,84.10,350.5,13.51,375.8,18.4,538.1,0.0594,0.95,180.9,90.9,9.7
2025-05-01T06:20:00+00:00,2019.2,82.25,352.4,13.72,382.9,13.0,606.3,0.0616,0.93,180.9,90.9,10.4
2025-05-01T06:21:00+00:00,2093.9,82.22,349.9,13.69,381.5,16.8,585.4,0.0597,0.85,180.9,90.9,10.0
