timestamp,engine_rpm,coolant_temp_c,oil_pressure_kpa,battery_voltage_v,exhaust_gas_temp_c,oil_particulate_ppm,exhaust_nox_ppm,vibration_rms_g,wave_height_m,heading_deg,wind_direction_deg,wind_speed_kn
2025-12-01T06:00:00+00:00,971.3,96.35,287.0,13.86,409.7,26.5,587.6,0.1630,0.54,15.7,105.7,8.3
2025-12-01T06:01:00+00:00,1036.5,98.76,294.3,13.71,379.7,27.8,588.4,0.1594,0.52,15.7,105.7,9.2
2025-12-01T06:02:00+00:00,872.2,96.22,302.3,13.86,408.1,27.9,510.6,0.1570,0.51,15.7,105.7,9.9
2025-12-01T06:03:00+00:00,1081.0,99.28,297.9,13.90,394.7,24.0,519.2,0.1561,0.52,15.7,105.7,8.3
2025-12-01T06:04:00+00:00,947.1,102.60,289.5,13.66,400.1,27.6,554.9,0.1648,0.54,15.7,105.7,9.2
2025-12-01T06:05:00+00:00,1064.0,101.09,288.6,13.66,425.5,26.9,574.9,0.1560,0.56,15.7,105.7,6.9
2025-12-01T06:06:00+00:00,1004.9,97.76,293.5,13.82,407.6,26.4,579.8,0.1542,0.44,15.7,105.7,7.1
2025-12-01T06:07:00+00:00,991.7,96.34,299.6,13.60,387.7,27.3,483.0,0.1560,0.60,15.7,105.7,9.6
2025-12-01T06:08:00+00:00,918.5,98.58,313.2,13.66,396.0,27.2,532.3,0.1695,0.65,15.7,105.7,8.6
2025-12-01T06:09:00+00:00,938.7,99.28,277.8,13.80,384.0,27.7,563.7,0.1552,0.57,15.7,105.7,9.1
2025-12-01T06:10:00+00:00,854.1,96.97,295.4,13.89,417.8,24.7,560.5,0.1548,0.57,15.7,105.7,8.4
2025-12-01T06:11:00+00:00,930.4,98.22,301.6,13.88,390.9,25.9,549.5,0.1555,0.60,15.7,105.7,8.2
2025-12-01T06:12:00+00:00,952.1,98.46,294.2,13.79,385.1,28.1,603.8,0.1551,0.56,15.7,105.7,7.6
2025-12-01T06:13:00+00:00,2062.7,103.27,293.9,13.48,427.0,27.2,635.7,0.1611,0.55,15.7,105.7,8.9
2025-12-01T06:14:00+00:00,1909.1,104.92,287.5,13.52,439.2,26.0,618.0,0.1623,0.71,15.7,105.7,9.1
2025-12-01T06:15:00+00:00,2202.5,102.55,281.0,13.97,433.5,26.9,626.2,0.1615,0.52,15.7,105.7,8.0
2025-12-01T06:16:00+00:00,2028.1,102.52,290.7,13.84,438.2,25.2,665.3,0.1639,0.55,15.7,105.7,7.8
2025-12-01T06:17:00+00:00,2130.6,101.62,293.6,13.67,443.4,27.8,622.0,0.1625,0.59,15.7,105.7,9.5
2025-12-01T06:18:00+00:00,1960.8,101.54,281.8,14.03,432.3,25.0,578.7,0.1664,0.58,15.7,105.7,9.2
2025-12-01T06:19:00+00:00,2031.8,103.93,294.3,14.10,445.0,27.7,605.7,0.1605,0.52,15.7,105.7,8.1
2025-12-01T06:20:00+00:00,2163.9,104.69,289.5,13.81,425.9,27.4,539.0,0.1648,0.45,15.7,105.7,7.7
2025-12-01T06:21:00+00:00,1876.2,102.74,291.8,13.79,425.5,29.4,567.3,0.1694,0.55,15.7,105.7,8.4
2025-12-01T06:22:00+00:00,1908.4,103.75,293.2,14.05,412.6,24.0,545.7,0.1608,0.59,15.7,105.7,9.0
2025-12-01T06:23:00+00:00,1983.9,103.28,286.8,13.60,431.0,24.4,645.8,0.1608,0.56,15.7,105.7,9.0
2025-12-01T06:24:00+00:00,1905.1,103.78,281.8,13.96,446.8,27.0,596.5,0.1668,0.46,15.7,105.7,9.3
2025-12-01T06:25:00+00:00,1780.4,100.17,285.3,13.72,433.9,24.4,565.1,0.1638,0.50,15.7,105.7,9.7
2025-12-01T06:26:00+00:00,1681.3,102.18,280.5,13.66,432.1,27.1,573.9,0.1613,0.49,15.7,105.7,9.8
2025-12-01T06:27:00+00:00,2131.8,102.12,287.1,13.58,441.9,25.7,588.3,0.1686,0.49,15.7,105.7,8.3
2025-12-01T06:28:00+00:00,2155.9,103.23,286.4,13.64,453.6,25.4,638.4,0.1657,0.53,15.7,105.7,7.6
2025-12-01T06:29:00+00:00,2075.0,103.18,284.1,13.94,426.8,27.2,638.9,0.1616,0.57,15.7,105.7,8.7
2025-12-01T06:30:00+00:00,2063.6,101.25,291.8,13.69,451.5,26.4,625.1,0.1607,0.51,15.7,105.7,8.5
2025-12-01T06:31:00+00:00,2020.9,101.64,282.7,13.77,444.9,25.9,576.5,0.1615,0.56,15.7,105.7,9.0
2025-12-01T06:32:00+00:00,2045.6,102.49,281.6,13.63,416.8,24.8,572.3,0.1600,0.46,15.7,105.7,9.2
2025-12-01T06:33:00+00:00,1975.8,101.72,280.2,13.84,440.1,27.8,568.3,0.1624,0.54,15.7,105.7,5.4
2025-12-01T06:34:00+00:00,2232.0,104.34,297.8,13.60,426.9,29.6,612.5,0.1663,0.48,15.7,105.7,8.6
2025-12-01T06:35:00+00:00,1939.4,104.06,283.1,14.07,418.3,25.7,597.5,0.1595,0.47,15.7,105.7,8.8
2025-12-01T06:36:00+00:00,2097.8,103.20,290.2,13.71,431.9,27.6,628.4,0.1619,0.61,15.7,105.7,7.6
2025-12-01T06:37:00+00:00,1880.1,101.85,291.5,13.63,426.0,28.6,652.0,0.1631,0.50,15.7,105.7,9.9
2025-12-01T06:38:00+00:00,2203.1,103.66,278.6,14.02,448.8,25.8,559.6,0.1615,0.52,15.7,105.7,8.3
2025-12-01T06:39:00+00:00,2015.4,103.03,285.4,13.96,453.6,27.9,589.3,0.1676,0.55,15.7,105.7,8.1
2025-12-01T06:40:00+00:00,2044.5,102.21,293.6,13.96,447.0,22.7,629.8,0.1649,0.45,15.7,105.7,8.2
2025-12-01T06:41:00+00:00,2163.9,102.55,288.1,13.66,454.9,24.1,638.4,0.1635,0.49,15.7,105.7,11.1
2025-12-01T06:42:00+00:00,1924.4,102.37,285.9,13.88,437.6,28.8,584.4,0.1602,0.53,15.7,105.7,8.3
2025-12-01T06:43:00+00:00,2001.6,103.15,292.4,13.86,449.7,27.4,626.8,0.1617,0.53,15.7,105.7,8.3
2025-12-01T06:44:00+00:00,2297.4,103.83,285.0,13.76,467.0,27.5,676.4,0.1652,0.53,15.7,105.7,9.0
2025-12-01T06:45:00+00:00,2084.8,102.07,288.6,13.89,427.5,25.5,576.4,0.1615,0.60,15.7,105.7,8.0
2025-12-01T06:46:00+00:00,2177.0,103.89,289.3,13.84,443.3,23.8,567.9,0.1619,0.49,15.7,105.7,8.9
2025-12-01T06:47:00+00:00,1993.6,103.12,282.7,13.59,420.2,27.5,594.9,0.1668,0.54,15.7,105.7,7.3
2025-12-01T06:48:00+00:00,1783.3,102.21,303.0,13.85,430.9,27.2,631.7,0.1600,0.59,15.7,105.7,8.8
2025-12-01T06:49:00+00:00,1995.1,100.40,293.5,13.90,436.4,24.9,595.0,0.1601,0.50,15.7,105.7,8.6
2025-12-01T06:50:00+00:00,2027.9,103.81,278.6,13.97,453.1,25.9,571.5,0.1601,0.49,15.7,105.7,7.8
2025-12-01T06:51:00+00:00,1837.0,105.74,285.7,13.71,423.9,26.5,604.0,0.1604,0.61,15.7,105.7,9.3
2025-12-01T06:52:00+00:00,1835.5,103.55,290.9,14.10,431.7,27.7,578.2,0.1612,0.53,15.7,105.7,9.1
2025-12-01T06:53:00+00:00,2157.6,104.59,298.1,13.72,438.6,28.0,615.1,0.1671,0.58,15.7,105.7,9.2
2025-12-01T06:54:00+00:00,1943.6,103.96,284.9,13.92,452.1,26.0,587.1,0.1616,0.49,15.7,105.7,9.8
2025-12-01T06:55:00+00:00,1995.6,99.54,292.0,13.81,443.5,26.6,597.2,0.1726,0.60,15.7,105.7,8.7
2025-12-01T06:56:00+00:00,1950.0,102.24,284.4,13.80,425.0,27.7,609.1,0.1685,0.48,15.7,105.7,9.8
2025-12-01T06:57:00+00:00,1899.3,103.76,290.4,13.64,421.6,26.3,550.1,0.1599,0.53,15.7,105.7,8.8
2025-12-01T06:58:00+00:00,2010.9,104.15,301.5,13.77,411.6,25.2,661.0,0.1604,0.51,15.7,105.7,7.1
2025-12-01T06:59:00+00:00,2121.8,101.91,272.2,13.97,417.1,27.3,533.5,0.1644,0.53,15.7,105.7,9.2
2025-12-01T07:00:00+00:00,1976.8,102.66,299.4,13.66,404.3,28.7,571.5,0.1681,0.54,15.7,105.7,8.3
2025-12-01T07:01:00+00:00,2509.5,105.95,269.5,13.63,454.4,26.4,601.7,0.1658,0.50,15.7,105.7,8.0
2025-12-01T07:02:00+00:00,2438.0,103.54,281.9,13.65,427.7,28.1,639.5,0.1622,0.46,15.7,105.7,10.8
2025-12-01T07:03:00+00:00,2446.9,105.60,278.1,13.94,437.9,26.5,611.2,0.1632,0.54,15.7,105.7,8.2
2025-12-01T07:04:00+00:00,2112.4,105.11,286.2,13.69,442.0,26.7,599.3,0.1721,0.56,15.7,105.7,10.0
2025-12-01T07:05:00+00:00,1853.9,101.24,281.3,13.81,444.0,24.7,555.3,0.1596,0.53,15.7,105.7,9.3
2025-12-01T07:06:00+00:00,2138.3,103.35,279.9,13.79,446.8,29.0,544.8,0.1607,0.47,15.7,105.7,6.4
